id,State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed
1,Alabama,Autauga,6,55036,10523,19.1,1754
2,Alabama,Baldwin,51,203360,53519,26.3,1049
3,Alabama,Barbour,5,26201,6150,23.5,1230
4,Alabama,Bibb,0,22580,4773,21.1,null
5,Alabama,Blount,6,57667,13600,23.6,2267
6,Alabama,Bullock,0,10478,2371,22.6,null
7,Alabama,Butler,7,20126,5151,25.6,736
8,Alabama,Calhoun,24,115527,27115,23.5,1130
9,Alabama,Chambers,0,33895,8501,25.1,null
10,Alabama,Cherokee,0,25855,7513,29.1,null
11,Alabama,Chilton,6,43805,9429,21.5,1572
12,Alabama,Choctaw,0,13188,3759,28.5,null
13,Alabama,Clarke,0,24625,6134,24.9,null
14,Alabama,Clay,4,13407,3480,26,870
15,Alabama,Cleburne,0,14939,3691,24.7,null
16,Alabama,Coffee,7,51073,11027,21.6,1575
17,Alabama,Colbert,22,54435,14062,25.8,639
18,Alabama,Conecuh,0,12649,3542,28,null
19,Alabama,Coosa,0,10955,3145,28.7,null
20,Alabama,Covington,13,37519,10290,27.4,792
21,Alabama,Crenshaw,0,13866,3371,24.3,null
22,Alabama,Cullman,12,81703,19667,24.1,1639
23,Alabama,Dale,6,49393,10498,21.3,1750
24,Alabama,Dallas,18,40755,9436,23.2,524
25,Alabama,DeKalb,12,71194,15782,22.2,1315
26,Alabama,Elmore,5,80989,15929,19.7,3186
27,Alabama,Escambia,14,37621,8677,23.1,620
28,Alabama,Etowah,56,103132,25122,24.4,449
29,Alabama,Fayette,12,16657,4604,27.6,384
30,Alabama,Franklin,7,31507,7054,22.4,1008
31,Alabama,Geneva,6,26572,6716,25.3,1119
32,Alabama,Greene,0,8533,2352,27.6,null
33,Alabama,Hale,0,14995,3945,26.3,null
34,Alabama,Henry,0,17110,4834,28.3,null
35,Alabama,Houston,66,104108,23474,22.5,356
36,Alabama,Jackson,10,52326,13441,25.7,1344
37,Alabama,Jefferson,471,659460,138161,21,293
38,Alabama,Lamar,0,14021,3811,27.2,null
39,Alabama,Lauderdale,48,92590,23452,25.3,489
40,Alabama,Lawrence,6,33288,7710,23.2,1285
41,Alabama,Lee,28,156597,24513,15.7,875
42,Alabama,Limestone,10,91695,18399,20.1,1840
43,Alabama,Lowndes,0,10362,2481,23.9,null
44,Alabama,Macon,0,19358,4854,25.1,null
45,Alabama,Madison,100,353213,70040,19.8,700
46,Alabama,Marengo,5,19743,5124,26,1025
47,Alabama,Marion,4,30058,8196,27.3,2049
48,Alabama,Marshall,20,94738,21466,22.7,1073
49,Alabama,Mobile,157,414328,88103,21.3,561
50,Alabama,Monroe,8,21745,5536,25.5,692
51,Alabama,Montgomery,88,227120,44214,19.5,502
52,Alabama,Morgan,34,119157,26739,22.4,786
53,Alabama,Perry,0,9680,2278,23.5,null
54,Alabama,Pickens,4,20170,4974,24.7,1244
55,Alabama,Pike,9,33287,6441,19.3,716
56,Alabama,Randolph,0,22530,6129,27.2,null
57,Alabama,Russell,8,58480,10680,18.3,1335
58,Alabama,St. Clair,6,86937,18943,21.8,3157
59,Alabama,Shelby,32,208721,41610,19.9,1300
60,Alabama,Sumter,0,13084,3005,23,null
61,Alabama,Talladega,14,80888,18842,23.3,1346
62,Alabama,Tallapoosa,6,40756,11006,27,1834
63,Alabama,Tuscaloosa,84,204424,36426,17.8,434
64,Alabama,Walker,12,64927,16386,25.2,1366
65,Alabama,Washington,0,16746,4103,24.5,null
66,Alabama,Wilcox,0,10919,2751,25.2,null
67,Alabama,Winston,4,23968,6575,27.4,1644
68,Alaska,Aleutians East,0,3338,510,15.3,null
69,Alaska,Aleutians West,0,5784,707,12.2,null
70,Alaska,Anchorage,73,298225,43608,14.6,597
71,Alaska,Bethel,0,17957,2082,11.6,null
72,Alaska,Bristol Bay,0,917,164,17.9,null
73,Alaska,Denali,0,2303,481,20.9,null
74,Alaska,Dillingham,0,4974,701,14.1,null
75,Alaska,Fairbanks North Star,13,100031,13950,13.9,1073
76,Alaska,Haines,0,2537,727,28.7,null
77,Alaska,Hoonah-Angoon,0,2146,645,30.1,null
78,Alaska,Juneau,9,32434,5907,18.2,656
79,Alaska,Kenai Peninsula,6,57961,13154,22.7,2192
80,Alaska,Ketchikan Gateway,4,13745,2951,21.5,738
81,Alaska,Kodiak Island Borough,0,13773,1915,13.9,null
82,Alaska,Kusilvak,0,8129,674,8.3,null
83,Alaska,Lake and Peninsula,0,1301,189,14.5,null
84,Alaska,Matanuska-Susitna,14,101135,16358,16.2,1168
85,Alaska,Nome,0,9869,1151,11.7,null
86,Alaska,North Slope Borough,0,9757,1157,11.9,null
87,Alaska,Northwest Arctic Borough,0,7715,851,11,null
88,Alaska,Petersburg Borough,0,3275,778,23.8,null
89,Alaska,Prince of Wales-Hyder,0,6473,1381,21.3,null
90,Alaska,Sitka Borough,0,8810,1829,20.8,null
91,Alaska,Skagway Municipality,0,1038,175,16.9,null
92,Alaska,Southeast Fairbanks ,0,6889,1256,18.2,null
93,Alaska,Valdez-Cordova ,0,9439,1790,19,null
94,Alaska,Wrangell City and Borough,0,2475,756,30.5,null
95,Alaska,Yakutat City and Borough,0,682,142,20.8,null
96,Alaska,Yukon-Koyukuk,0,5453,1058,19.4,null
97,Arizona,Apache,0,71602,14107,19.7,null
98,Arizona,Cochise,12,126516,35231,27.8,2936
99,Arizona,Coconino,41,138639,23195,16.7,566
100,Arizona,Gila,8,53145,18752,35.3,2344
101,Arizona,Graham,0,37700,6933,18.4,null
102,Arizona,Greenlee,0,9368,1631,17.4,null
103,Arizona,La Paz,3,20477,9183,44.8,3061
104,Arizona,Maricopa,1004,4155501,808534,19.5,805
105,Arizona,Mohave,80,204691,73559,35.9,919
106,Arizona,Navajo,12,107902,24267,22.5,2022
107,Arizona,Pima,296,1007257,245814,24.4,830
108,Arizona,Pinal,22,405537,100086,24.7,4549
109,Arizona,Santa Cruz,0,46358,10530,22.7,null
110,Arizona,Yavapai,39,220972,85127,38.5,2183
111,Arizona,Yuma,42,204281,45739,22.4,1089
112,Arkansas,Arkansas,0,18352,4693,25.6,null
113,Arkansas,Ashley,6,20771,5094,24.5,849
114,Arkansas,Baxter,17,41093,15979,38.9,940
115,Arkansas,Benton,30,251823,44616,17.7,1487
116,Arkansas,Boone,24,37212,9809,26.4,409
117,Arkansas,Bradley,0,10994,2825,25.7,null
118,Arkansas,Calhoun,0,5194,1436,27.6,null
119,Arkansas,Carroll,0,27782,7997,28.8,null
120,Arkansas,Chicot,0,11008,2835,25.8,null
121,Arkansas,Clark,0,22495,5000,22.2,null
122,Arkansas,Clay,0,15190,4125,27.2,null
123,Arkansas,Cleburne,0,25361,8437,33.3,null
124,Arkansas,Cleveland,0,8332,2195,26.3,null
125,Arkansas,Columbia,6,23992,5481,22.8,914
126,Arkansas,Conway,0,20954,5270,25.2,null
127,Arkansas,Craighead,66,104246,19242,18.5,292
128,Arkansas,Crawford,8,62119,13589,21.9,1699
129,Arkansas,Crittenden,0,49278,9487,19.3,null
130,Arkansas,Cross,0,17164,4020,23.4,null
131,Arkansas,Dallas,0,7585,2206,29.1,null
132,Arkansas,Desha,0,12094,3044,25.2,null
133,Arkansas,Drew,5,18620,3890,20.9,778
134,Arkansas,Faulkner,25,121282,19658,16.2,786
135,Arkansas,Franklin,0,17803,4640,26.1,null
136,Arkansas,Fulton,0,12092,4099,33.9,null
137,Arkansas,Garland,41,97994,28731,29.3,701
138,Arkansas,Grant,0,18076,4063,22.5,null
139,Arkansas,Greene,8,44197,9006,20.4,1126
140,Arkansas,Hempstead,8,22154,5273,23.8,659
141,Arkansas,Hot Spring,6,33480,8417,25.1,1403
142,Arkansas,Howard,0,13472,3157,23.4,null
143,Arkansas,Independence,12,37097,8706,23.5,726
144,Arkansas,Izard,0,13521,4226,31.3,null
